SKU,name,orderedQuantity,stockLevel,restockingLeadTime,ratio,comments
GGOENEBB078899,Cam Indoor Security Camera - USA,2139,2615,42,0.8179732314,new shipment on the way
GGOENEBB078899,Cam Indoor Security Camera - USA,2139,2615,42,0.8179732314,
GGOEGCBQ016499,SPF-15 Slim & Slender Lip Balm,3682,4069,31,0.9048906365,
GGOEGCBQ016499,SPF-15 Slim & Slender Lip Balm,3682,4069,31,0.9048906365,
GGOEGOAQ020099,Four Color Retractable Pen,2002,2450,22,0.8171428571,
GGOEGOAQ020099,Four Color Retractable Pen,2002,2450,22,0.8171428571,
GGOEGCBC016999,Pet Feeding Mat,105,115,19,0.9130434783,
GGOEGAQB036017,Women's Fleece Hoodie,1,1,19,1,
GGOEYAAJ032517,Men's Short Sleeve Hero Tee Charcoal,1,1,19,1,
GGOEAAWT061750,Android Onesie Gold,2,2,19,1,
GGOEGAAX0582,Women's Lightweight Microfleece Jacket,3,3,19,1,
GGOEYAEJ029015,Women's Short Sleeve Hero Tee Charcoal,4,4,19,1,
GGOEGAYQ068924,Youth Girl Hoodie,4,5,19,0.8,
GGOEYAEJ029613,Women's Short Sleeve Tri-blend Badge Tee Grey,7,8,19,0.875,
GGOEGADJ057115,Men's Performance 1/4 Zip Pullover Heather/Black,7,8,19,0.875,
GGOEAAEH035217,Android Men's Vintage Henley,8,10,19,0.8,
GGOEGAYH067924,Youth Girl Tee Green,9,9,19,1,
GGOEGAAX0660,Toddler Sports T-shirt Red,10,10,19,1,
GGOEYAAB031816,Men's Short Sleeve Hero Tee Black,18,20,19,0.9,
GGOEGAAX0573,Men's Lightweight Microfleece Jacket Black,18,20,19,0.9,
GGOEAAXN066328,Android Toddler Short Sleeve T-shirt Pink,20,22,19,0.9090909091,
GGOEAAEH035215,Android Men's Vintage Henley,25,27,19,0.9259259259,
GGOEGAAX0690,Youth Short Sleeve Tee White,29,31,19,0.935483871,
GGOEGALL074614,Women's Short Sleeve Badge Tee Navy,29,31,19,0.935483871,
GGOEGALQ036614,Women's Scoop Neck Tee White,49,52,19,0.9423076923,
GGOEGAAX0610,Onesie Red/Graphite,51,63,19,0.8095238095,
GGOEGCBC016999,Pet Feeding Mat,105,115,19,0.9130434783,
GGOEGAQB036017,Women's Fleece Hoodie,1,1,19,1,
GGOEYAAJ032517,Men's Short Sleeve Hero Tee Charcoal,1,1,19,1,
GGOEAAWT061750,Android Onesie Gold,2,2,19,1,
GGOEGAAX0582,Women's Lightweight Microfleece Jacket,3,3,19,1,
GGOEYAEJ029015,Women's Short Sleeve Hero Tee Charcoal,4,4,19,1,
GGOEGAYQ068924,Youth Girl Hoodie,4,5,19,0.8,
GGOEYAEJ029613,Women's Short Sleeve Tri-blend Badge Tee Grey,7,8,19,0.875,
GGOEGADJ057115,Men's Performance 1/4 Zip Pullover Heather/Black,7,8,19,0.875,
GGOEAAEH035217,Android Men's Vintage Henley,8,10,19,0.8,
GGOEGAYH067924,Youth Girl Tee Green,9,9,19,1,
GGOEGAAX0660,Toddler Sports T-shirt Red,10,10,19,1,
GGOEYAAB031816,Men's Short Sleeve Hero Tee Black,18,20,19,0.9,
GGOEGAAX0573,Men's Lightweight Microfleece Jacket Black,18,20,19,0.9,
GGOEAAXN066328,Android Toddler Short Sleeve T-shirt Pink,20,22,19,0.9090909091,
GGOEAAEH035215,Android Men's Vintage Henley,25,27,19,0.9259259259,
GGOEGAAX0690,Youth Short Sleeve Tee White,29,31,19,0.935483871,
GGOEGALL074614,Women's Short Sleeve Badge Tee Navy,29,31,19,0.935483871,
GGOEGALQ036614,Women's Scoop Neck Tee White,49,52,19,0.9423076923,
GGOEGAAX0610,Onesie Red/Graphite,51,63,19,0.8095238095,
GGOEGATB060416,Women's Quilted Insulated Vest Black,1,1,18,1,
GGOEYAEB035617,Men's Vintage Tank,1,1,18,1,
GGOEAAWT061754,Android Onesie Gold,2,2,18,1,
GGOEGADB059213,Men's Airflow 1/4 Zip Pullover Black,2,2,18,1,
GGOEGAPB057516,Women's Weatherblock Shell Jacket Black,4,4,18,1,
GGOEAAEJ028214,Android Women's Short Sleeve Badge Tee Dark Heather,6,7,18,0.8571428571,
GGOEYAAJ032513,Men's Short Sleeve Hero Tee Charcoal,20,23,18,0.8695652174,
GGOEGAXJ065728,Toddler 1/4 Zip Fleece Pewter,27,30,18,0.9,
GGOEGAAX0681,Youth Sports Tee Navy,29,33,18,0.8787878788,
GGOENEBQ081599,Cam Outdoor Security Camera - CA,37,40,18,0.925,
GGOEGATB060416,Women's Quilted Insulated Vest Black,1,1,18,1,
GGOEYAEB035617,Men's Vintage Tank,1,1,18,1,
GGOEAAWT061754,Android Onesie Gold,2,2,18,1,
GGOEGADB059213,Men's Airflow 1/4 Zip Pullover Black,2,2,18,1,
GGOEGAPB057516,Women's Weatherblock Shell Jacket Black,4,4,18,1,
GGOEAAEJ028214,Android Women's Short Sleeve Badge Tee Dark Heather,6,7,18,0.8571428571,
GGOEYAAJ032513,Men's Short Sleeve Hero Tee Charcoal,20,23,18,0.8695652174,
GGOEGAXJ065728,Toddler 1/4 Zip Fleece Pewter,27,30,18,0.9,
GGOEGAAX0681,Youth Sports Tee Navy,29,33,18,0.8787878788,
GGOENEBQ081599,Cam Outdoor Security Camera - CA,37,40,18,0.925,
GGOEGEHQ071199," High Capacity 10,400mAh Charger",73,84,17,0.869047619,
GGOEGADC059313,Men's Airflow 1/4 Zip Pullover Lapis,1,1,17,1,
GGOEGAER035517,Men's Vintage Tank,1,1,17,1,
GGOEGAAX0730,Men's Performance Hero Tee Gunmetal,1,1,17,1,
GGOEGAEB084517,BLM Sweatshirt,1,1,17,1,
GGOEGAEJ028916,Women's Short Sleeve Hero Dark Grey,2,2,17,1,
GGOEGAAX0683,Youth Short Sleeve T-shirt Royal Blue,4,5,17,0.8,
GGOEGAAX0566,Men's Weatherblock Shell Jacket Black,4,5,17,0.8,
GGOEYAEJ029014,Women's Short Sleeve Hero Tee Charcoal,4,5,17,0.8,
GGOEGAAX0732,Women's Fleece Hoodie Black,4,5,17,0.8,
GGOEGADJ056818,Men's Watershed Full Zip Hoodie Grey,6,7,17,0.8571428571,
GGOEGAAX0746,Women's Short Sleeve Badge Tee Navy,7,8,17,0.875,
GGOEGAEJ030817,Women's Long Sleeve Blended Cardigan Charcoal,8,9,17,0.8888888889,
GGOEGAAX0331,Men's Long Sleeve Raglan Ocean Blue,8,10,17,0.8,
GGOEGAXR065130,Toddler Short Sleeve Tee Red,12,12,17,1,
GGOEGAPB058612,Women's Yoga Jacket Black,17,21,17,0.8095238095,
GGOEGAAX0319,Android Men's Short Sleeve Hero Tee Heather,18,19,17,0.9473684211,
GGOEGALJ036415,Women's Tee Grey,21,23,17,0.9130434783,
GGOEGATB060614,Women's Convertible Vest-Jacket Black,31,37,17,0.8378378378,
GGOEGEHQ071199," High Capacity 10,400mAh Charger",73,84,17,0.869047619,
GGOEGADC059313,Men's Airflow 1/4 Zip Pullover Lapis,1,1,17,1,
GGOEGAER035517,Men's Vintage Tank,1,1,17,1,
GGOEGAAX0730,Men's Performance Hero Tee Gunmetal,1,1,17,1,
GGOEGAEB084517,BLM Sweatshirt,1,1,17,1,
GGOEGAEJ028916,Women's Short Sleeve Hero Dark Grey,2,2,17,1,
GGOEGAAX0683,Youth Short Sleeve T-shirt Royal Blue,4,5,17,0.8,
GGOEGAAX0566,Men's Weatherblock Shell Jacket Black,4,5,17,0.8,
GGOEYAEJ029014,Women's Short Sleeve Hero Tee Charcoal,4,5,17,0.8,
GGOEGAAX0732,Women's Fleece Hoodie Black,4,5,17,0.8,
GGOEGADJ056818,Men's Watershed Full Zip Hoodie Grey,6,7,17,0.8571428571,
GGOEGAAX0746,Women's Short Sleeve Badge Tee Navy,7,8,17,0.875,
GGOEGAEJ030817,Women's Long Sleeve Blended Cardigan Charcoal,8,9,17,0.8888888889,
GGOEGAAX0331,Men's Long Sleeve Raglan Ocean Blue,8,10,17,0.8,
GGOEGAXR065130,Toddler Short Sleeve Tee Red,12,12,17,1,
GGOEGAPB058612,Women's Yoga Jacket Black,17,21,17,0.8095238095,
GGOEGAAX0319,Android Men's Short Sleeve Hero Tee Heather,18,19,17,0.9473684211,
GGOEGALJ036415,Women's Tee Grey,21,23,17,0.9130434783,
GGOEGATB060614,Women's Convertible Vest-Jacket Black,31,37,17,0.8378378378,
GGOEYAEJ029515,Women's Short Sleeve Tri-blend Badge Tee Charcoal,94,111,16,0.8468468468,
GGOEAAAJ031916,Android Men's Short Sleeve Hero Tee Heather,79,84,16,0.9404761905,
GGOEGAAJ080614,Men's Bike Short Sleeve Tee Charcoal,50,53,16,0.9433962264,
GGOEGBRB013899,Laptop Backpack,155,178,16,0.8707865169,
GGOEYAEJ029615,Women's Short Sleeve Tri-blend Badge Tee Grey,1,1,16,1,
GGOEAXXX0811,Android Men's Pep Rally Short Sleeve Tee Navy,1,1,16,1,
GGOEAAEH035216,Android Men's Vintage Henley,2,2,16,1,
GGOEGAPB057517,Women's Weatherblock Shell Jacket Black,2,2,16,1,
GGOEGAAX0324,Android Men's Short Sleeve Tri-blend Hero Tee Grey,3,3,16,1,
GGOEGAAH034013,Men's Vintage Badge Tee Sage,3,3,16,1,
GGOEGAPC058814,Women's Shell Jacket Blue/Black,4,4,16,1,
GGOEGAXR066028,Toddler Sports T-shirt Red,5,6,16,0.8333333333,
GGOEGALJ072915,Women's Performance Hero Tee Gunmetal,6,6,16,1,
GGOEWAAJ082814,Men's Short Sleeve Tee,6,6,16,1,
GGOEGATB060413,Women's Quilted Insulated Vest Black,6,7,16,0.8571428571,
GGOEGAWR061049,Onesie Red/Graphite,10,10,16,1,
GGOEGATJ060513,Women's Quilted Insulated Vest White,17,18,16,0.9444444444,
GGOEGAAJ080613,Men's Bike Short Sleeve Tee Charcoal,24,29,16,0.8275862069,
GGOEGAAX0290,Women's Short Sleeve Hero Tee Charcoal,45,54,16,0.8333333333,
GGOEYAEJ029515,Women's Short Sleeve Tri-blend Badge Tee Charcoal,94,111,16,0.8468468468,
GGOEAAAJ031916,Android Men's Short Sleeve Hero Tee Heather,79,84,16,0.9404761905,
GGOEGAAJ080614,Men's Bike Short Sleeve Tee Charcoal,50,53,16,0.9433962264,
GGOEGBRB013899,Laptop Backpack,155,178,16,0.8707865169,
GGOEYAEJ029615,Women's Short Sleeve Tri-blend Badge Tee Grey,1,1,16,1,
GGOEAXXX0811,Android Men's Pep Rally Short Sleeve Tee Navy,1,1,16,1,
GGOEAAEH035216,Android Men's Vintage Henley,2,2,16,1,
GGOEGAPB057517,Women's Weatherblock Shell Jacket Black,2,2,16,1,
GGOEGAAX0324,Android Men's Short Sleeve Tri-blend Hero Tee Grey,3,3,16,1,
GGOEGAAH034013,Men's Vintage Badge Tee Sage,3,3,16,1,
