end_station_name,num
"Hyde Park Corner, Hyde Park",671680
"Belgrove Street , King's Cross",586568
"Hop Exchange, The Borough",519033
"Waterloo Station 3, Waterloo",508421
"Albert Gate, Hyde Park",464713
"Black Lion Gate, Kensington Gardens",452412
"Waterloo Station 1, Waterloo",403861
"Wellington Arch, Hyde Park",388354
"Brushfield Street, Liverpool Street",380069
"Wormwood Street, Liverpool Street",372718
"Triangle Car Park, Hyde Park",349623
"Duke Street Hill, London Bridge",349479
"Bethnal Green Road, Shoreditch",322209
"Storey's Gate, Westminster",318794
"Soho Square , Soho",314085
"Aquatic Centre, Queen Elizabeth Olympic Park",309576
"Holborn Circus, Holborn",308103
"Craven Street, Strand",307151
"Tooley Street, Bermondsey",300325
"St. James's Square, St. James's",294442
"Finsbury Circus, Liverpool Street",291985
"Whitehall Place, Strand",287426
"Cheapside, Bank",284815
"Tower Gardens , Tower",284369
"Park Lane , Hyde Park",282455
"Serpentine Car Park, Hyde Park",281158
"Exhibition Road, Knightsbridge",279276
"Newgate Street , St. Paul's",278570
"Queen Street 1, Bank",277824
"Palace Gate, Kensington Gardens",277231
"Green Park Station, Mayfair",270166
"Crosswall, Tower",267956
"Little Argyll Street, West End",264761
"William IV Street, Strand",257283
"Great Tower Street, Monument",252243
"Old Street Station, St. Luke's",246829
"South Kensington Station, South Kensington",246288
"Shoreditch High Street, Shoreditch",245305
"Vauxhall Cross, Vauxhall",243295
"Queen Street 2, Bank",242900
"Kennington Lane Rail Bridge, Vauxhall",240417
"Queen's Gate, Kensington Gardens",233355
"Islington Green, Angel",231755
"Fulham Broadway, Walham Green",224147
"Bayswater Road, Hyde Park",223381
"Baylis Road, Waterloo",223294
"Somerset House, Strand",218078
"Derry Street, Kensington",215723
"Drury Lane, Covent Garden",215552
"Moorfields, Moorgate",214559
"Moor Street, Soho",214095
"Jubilee Gardens, South Bank",212594
"Wardour Street, Soho",206041
"Leonard Circus , Shoreditch",205568
"Bankside Mix, Bankside",201623
"Regent's Row , Haggerston ",201163
"Gloucester Road Station, South Kensington",200415
"Limerston Street, West Chelsea",200343
"Pall Mall East, West End",198172
"Nesham Street, Wapping",196780
"Leman Street, Aldgate",195886
"Old Quebec Street, Marylebone",194034
"Queen's Circus, Battersea Park",193856
"Malet Street, Bloomsbury",190916
"Wellington Street , Strand",190636
"Aldersgate Street, Barbican",190311
"Warren Street Station, Euston",189656
"Eccleston Place, Victoria",188219
"Bank of England Museum, Bank",186018
"Finsbury Leisure Centre, St. Luke's",184746
"Dunston Road , Haggerston",184701
"Ashley Place, Victoria",183860
"Ethelburga Estate, Battersea Park",183274
"Waterloo Station 2, Waterloo",181445
"Eagle Wharf Road, Hoxton",181219
"Sedding Street, Sloane Square",181085
"Royal London Hospital, Whitechapel",179746
"Tavistock Street, Covent Garden",179461
"Bunhill Row, Moorgate",179074
"Godliman Street, St. Paul's",179053
"Berry Street, Clerkenwell",178864
"Bermondsey Street, Bermondsey",178368
"Flood Street, Chelsea",178011
"Hatton Wall, Holborn",177489
"Northumberland Avenue, Strand",177427
"Panton Street, West End",176743
"Great Marlborough Street, Soho",173516
"Notting Hill Gate Station, Notting Hill",173268
"Curlew Street, Shad Thames",172914
"Howick Place, Westminster",171371
"Red Lion Street, Holborn",169663
"St. Bride Street, Holborn",166989
"Braham Street, Aldgate",164952
"Bath Street, St. Luke's",163819
"Clerkenwell Green, Clerkenwell",163484
"West Smithfield Rotunda, Farringdon",162833
"Monument Street, Monument",162673
"Falcon Road, Clapham Junction",161416
"Wright's Lane, Kensington",161159
"Lambeth Palace Road, Waterloo",161014
"Imperial College, Knightsbridge",160731
"Flamborough Street, Limehouse",160621
"Queen Victoria Street, St. Paul's",160574
"Southampton Street, Strand",159423
"Abingdon Green, Westminster",159305
"British Museum, Bloomsbury",157284
"Elizabeth Bridge, Victoria",156017
"Tanner Street, Bermondsey",155901
"Bayley Street , Bloomsbury",155304
"Green Street, Mayfair",155082
"Marylebone Lane, Marylebone",154685
"South Wharf Road, Paddington",153194
"Endsleigh Gardens, Euston",151364
"Westbridge Road, Battersea",151111
"Milroy Walk, South Bank",150968
"Sloane Avenue, Knightsbridge",150926
"Battersea Power Station, Battersea Park",149642
"Tysoe Street, Clerkenwell",149461
"Westminster Pier, Westminster",148627
"Waterloo Place, St. James's",148128
"Fournier Street, Whitechapel",148014
"Pritchard's Road, Bethnal Green",147948
"Hinde Street, Marylebone",147775
"Drayton Gardens, West Chelsea",147525
"Westferry DLR, Limehouse",147288
"Park Road (Baker Street), The Regent's Park",146917
"Frith Street, Soho",146049
"Abbey Orchard Street, Westminster",145521
"Buckingham Gate, Westminster",144830
"Montpelier Street, Knightsbridge",144386
"Golden Square, Soho",142869
"Kennington Cross, Kennington",142843
"Wells Street, Fitzrovia",142839
"Podium, Queen Elizabeth Olympic Park",142391
"Cleveland Way, Stepney",142384
"Binfield Road, Stockwell",142285
"Queen Mother Sports Centre, Victoria",142080
"Liverpool Road (N1 Centre), Angel",141856
"Castlehaven Road, Camden Town",140903
"Greenland Road, Camden Town",140725
"Porchester Place, Paddington",140147
"Stepney Green Station, Stepney",139126
"Finsbury Square , Moorgate",138211
"Museum of London, Barbican",137995
"All Saints Church, Portobello",137984
"Phillimore Gardens, Kensington",137374
"Victoria Park Road, Hackney Central",137338
"Howland Street, Fitzrovia",136833
"New Inn Yard, Shoreditch",136755
"Tallis Street, Temple",135703
"Russell Square Station, Bloomsbury",135236
"Graham Street, Angel",135222
"Parsons Green Station, Parsons Green",134903
