start_station_name,num
"Hyde Park Corner, Hyde Park",671688
"Belgrove Street , King's Cross",593065
"Waterloo Station 3, Waterloo",527112
"Albert Gate, Hyde Park",461108
"Black Lion Gate, Kensington Gardens",459716
"Waterloo Station 1, Waterloo",419334
"Wellington Arch, Hyde Park",392889
"Hop Exchange, The Borough",385926
"Wormwood Street, Liverpool Street",354663
"Triangle Car Park, Hyde Park",353033
"Duke Street Hill, London Bridge",334976
"Brushfield Street, Liverpool Street",324478
"Bethnal Green Road, Shoreditch",319191
"Aquatic Centre, Queen Elizabeth Olympic Park",306440
"Craven Street, Strand",293522
"Storey's Gate, Westminster",291048
"Park Lane , Hyde Park",282810
"Serpentine Car Park, Hyde Park",280172
"Palace Gate, Kensington Gardens",276525
"Tooley Street, Bermondsey",269700
"Soho Square , Soho",269552
"Cheapside, Bank",268747
"Tower Gardens , Tower",266016
"Finsbury Circus, Liverpool Street",263926
"Queen Street 1, Bank",261950
"Whitehall Place, Strand",258146
"Exhibition Road, Knightsbridge",255008
"Green Park Station, Mayfair",253217
"Crosswall, Tower",251907
"Waterloo Station 2, Waterloo",250920
"Shoreditch High Street, Shoreditch",246615
"Little Argyll Street, West End",242981
"Vauxhall Cross, Vauxhall",242599
"Islington Green, Angel",241061
"Old Street Station, St. Luke's",238738
"South Kensington Station, South Kensington",238213
"Kennington Lane Rail Bridge, Vauxhall",237045
"Newgate Street , St. Paul's",234077
"Great Tower Street, Monument",232745
"Queen's Gate, Kensington Gardens",232296
"Bayswater Road, Hyde Park",231770
"Holborn Circus, Holborn",226050
"Eagle Wharf Road, Hoxton",222977
"St. James's Square, St. James's",221807
"Fulham Broadway, Walham Green",221099
"Baylis Road, Waterloo",213890
"William IV Street, Strand",210375
"Derry Street, Kensington",206988
"Drury Lane, Covent Garden",205893
"Regent's Row , Haggerston ",204338
"Moor Street, Soho",202173
"Queen Street 2, Bank",200845
"Leman Street, Aldgate",199123
"Gloucester Road Station, South Kensington",199043
"Limerston Street, West Chelsea",198037
"Somerset House, Strand",197525
"Nesham Street, Wapping",197190
"Queen's Circus, Battersea Park",196722
"Dunston Road , Haggerston",196399
"Notting Hill Gate Station, Notting Hill",195883
"Moorfields, Moorgate",194686
"Wardour Street, Soho",194419
"Warren Street Station, Euston",193971
"Leonard Circus , Shoreditch",193467
"Old Quebec Street, Marylebone",190806
"Finsbury Leisure Centre, St. Luke's",189662
"Malet Street, Bloomsbury",188364
"Eccleston Place, Victoria",186672
"Ethelburga Estate, Battersea Park",185684
"Jubilee Gardens, South Bank",184475
"Bermondsey Street, Bermondsey",183604
"Aldersgate Street, Barbican",183256
"Royal London Hospital, Whitechapel",179615
"Wellington Street , Strand",178318
"Ashley Place, Victoria",175144
"Flood Street, Chelsea",174597
"Bankside Mix, Bankside",174110
"Red Lion Street, Holborn",173373
"Bank of England Museum, Bank",173370
"Hatton Wall, Holborn",173348
"Curlew Street, Shad Thames",172655
"Berry Street, Clerkenwell",172221
"Pall Mall East, West End",171090
"Sedding Street, Sloane Square",167222
"Panton Street, West End",163930
"South Wharf Road, Paddington",162704
"Godliman Street, St. Paul's",162164
