vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount,pickup_location_id,dropoff_location_id
1,2018-03-27T12:47:16,2018-03-27T13:39:54,1,2.7,1,N,1,29,0,0.5,5.95,0,0.3,35.75,68,162
1,2018-06-10T19:02:02,2018-06-10T19:31:53,1,15.1,1,N,1,42,0,0.5,12.1,5.76,0.3,60.66,138,88
2,2018-10-23T20:35:45,2018-10-23T21:05:05,1,7.92,1,N,1,26,0.5,0.5,5.46,0,0.3,32.76,261,41
1,2018-09-11T20:13:27,2018-09-11T20:36:56,1,6.5,1,N,1,22.5,0.5,0.5,4.75,0,0.3,28.55,262,231
2,2018-06-20T22:20:22,2018-06-20T22:45:24,2,6.44,1,N,1,24.5,0.5,0.5,3.87,0,0.3,29.67,261,162
1,2018-03-12T01:29:24,2018-03-12T01:46:51,1,10,1,N,1,29,0.5,0.5,6.05,0,0.3,36.35,100,127
4,2018-10-24T02:42:17,2018-10-24T03:00:51,1,7.24,1,N,1,22,0.5,0.5,4.66,0,0.3,27.96,7,53
2,2018-08-04T15:00:47,2018-08-04T16:08:47,1,36.97,5,N,1,83.5,0,0,21.51,23.76,0.3,129.07,132,265
1,2018-04-30T10:05:58,2018-04-30T10:50:18,1,9.6,1,N,1,31.5,0,0.5,5.81,0,0.3,38.11,264,264
2,2018-10-24T11:07:34,2018-10-24T11:46:35,1,2.31,1,N,1,23,0,0.5,7.14,0,0.3,30.94,170,236
1,2018-03-21T11:40:26,2018-03-21T11:57:36,1,8,1,N,1,24,0,0.5,4.95,0,0.3,29.75,237,261
2,2018-06-07T16:12:53,2018-06-07T17:07:23,1,9.62,1,N,1,39,1,0.5,9.31,5.76,0.3,55.87,138,163
2,2018-04-19T15:10:53,2018-04-19T16:33:06,1,19.22,1,N,1,65,0,0.5,5.55,0,0.3,71.35,132,255
2,2018-01-08T13:23:41,2018-01-08T13:45:41,2,6.73,1,N,1,23.5,0,0.5,4,0,0.3,28.3,87,262
